1.400,Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29."
4.800,"Ursel Reisen confirmed it operated the coach, but gave no details other than to say the passengers were of mixed ages.","Ursel Reisen confirmed it had been operating the coach, but declined to give details of the passengers other than to say they were of mixed ages."
3.600,"A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.",A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.
3.400,He was also expected to visit Yemen and Bahrain during his tour of the region.,"Khatami, who arrived in Beirut Monday, was also to visit Syria, Yemen and Bahrain."
3.600,"General Myers told reporters that ""at first blush, it doesn't look like any rules were broken"".","""At first blush, it doesn't look like any rules were broken,"" said Gen. Richard Myers, chairman of the Joint Chiefs of Staff."
3.400,"Proving that the Millville son's sacrifice would not go unsung, Mayor James Quinn ordered all city flags flown at half-mast for the next 30 days.","In Millville yesterday, Mayor James Quinn ordered all city flags flown at half-staff for the next 30 days."
4.250,"Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.","Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario."
4.250,They found molecules that can only be produced when ozone breaks down cholesterol.,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.
3.846,It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.,"And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre."
1.200,"Earlier this month, RIM had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share.",Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.
3.200,"""For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents,"" according to extracts released yesterday.","""For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents,"" Mrs Clinton writes."
3.800,"In 2001 and 2002, wire transfers from 4 of the company's 40 accounts totaled more than $3.2 billion, prosecutors said.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said."
3.200,"Stony Brook University launched the study in 1996, after earlier studies indicated a possible connection between electromagnetic fields and cancer.","The State University at Stony Brook launched the study in 1996, after earlier studies indicated a possible connection."
4.000,"Earlier, they had defied a police order and cried ""Allahu Akbar"" (God is Greatest) as Bashir walked to his seat in the tightly guarded courtroom.","Earlier, Bashir's supporters had defied a police order and cried ""Allahu Akbar (God is Greatest)"" as he walked to his seat."
3.333,Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident.,"Spokesman James Howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries, while three others were treated at the scene."
2.000,But it is clear that the Joint Intelligence Committee was not involved.,This report was cleared by the Joint Intelligence Committee.
2.600,"About 22% of twentysomethings are obese, which is roughly 30 pounds over a healthy weight.",About 31 percent of Americans are now obese — roughly 30 or more pounds over a healthy weight.
3.000,"Coupling, an American version of a hit British comedy, will get the valuable Thursday 9:30 p.m. time slot.","Coupling, an American version of a hit British comedy, will couple with Friends on Thursdays."
2.600,Her body was found several weeks later in the Green River.,"Aug. 15, 1982: Remains of Chapman, Hinds and Mills are found in the Green River."
2.800,"""Fighting continued until midnight,"" western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday.","""They ransacked and burned the two villages completely,"" rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush."
3.000,The reading for both August and July is the best seen since the survey began in August 1997.,It is the highest reading since the index was created in August 1997.
3.200,"US Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline, which transports crude from Colombia's second-biggest oil field.",U.S. Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline.
2.600,"We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.","Texas lawmakers must close a $185.9 million budget gap by the middle of July or the schools wont open in September, Comptroller Carole Keeton Strayhorn said Thursday."
2.500,Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading."
4.500,The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.
3.250,Country-music station KKCS has suspended two disc jockeys for playing songs by the Dixie Chicks in violation of a ban imposed after one group member criticized President George Bush.,"A radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing Dixie Chicks songs, violating the station's two-month-old ban on the group's music."
4.000,"Sovereign's shares lost 74 cents, or 4.5%, to $15.68.","Sovereign shares closed on the New York Stock Exchange at $15.68, down 74 cents, or 4.5 percent."
2.200,"Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.","In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share."
2.800,The new law requires libraries and schools to use filters or lose federal financing.,The 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money.
3.600,"In addition, it offered the United States and Israel a way to work around Mr. Arafat.","When the prime minister's position was established in the spring, it offered the United States and Israel a way to work around Arafat."
2.600,"And yes, Marilyn Monroe is definitely part of the story, titled ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""","Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin."""
3.800,"Gilroy police and FBI agents described Gehring as cooperative, but said Saturday that he had revealed nothing about what had happened to the children.","Saturday, officials in California described Gehring as cooperative — but said he has revealed nothing about what has happened to the children."
3.200,"Scribner's body was found floating in the city's Portage Bay, where he lived with his wife in a houseboat.","A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay, where he was eating lunch when his wife, Ethel, left for an appointment."
5.000,"After protesters rushed the stage and twice cut power to the microphone, Hedges drew the speech to an early close.","After protesters rushed the stage and twice cut power to the microphone, Hedges cut his speech short."
4.000,"A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m., with his hands still taped together but his feet free.","A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday, with his feet free but his hands still taped."
5.000,"Doctors say one or both boys may die, and that some brain damage is possible if they survive.","Doctors said that one or both of the boys may die and that if they survive, some brain damage is possible."
2.200,"Also missing is Al Larsen, 31, of Fort Worth, Texas, who was in another vehicle swept off the turnpike.","The other victim recovered Tuesday morning was Al Larsen, 31, of Fort Worth, Texas."
4.200,British-based GlaxoSmithKline Plc said earlier this year it would cut off supplies to Canadian drugstores that ship to the United States.,"GlaxoSmithKline, the UK drugmaker, has said it would cut off supplies to Canadian stores shipping drugs to the US."
2.818,The festival kicked off yesterday one day after the Competition Commission delivered its final verdict to the Government on the proposed £4.1 billion merger.,"The Competition Commission delivered its verdict yesterday on the proposed merger of the two big ITV players, Carlton and Granada."
3.875,She said he persisted and she eventually allowed him to fix her bike while she sat in the front seat of his car.,"She said she eventually allowed him to fix her bike while she sat in his car, and they chatted."
4.400,"Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser.","Daniels said he doesn't know what Bush will say at tonight's $2,000-per-person reception to raise funds for his presidential re-election bid."
2.800,"A three-judge panel of the 11th U.S. Circuit Court of Appeals ruled late Friday that the small size, limited use and secular purpose make the image legitimate.",A three-judge panel of the 8th U.S. Circuit Court of Appeals in St. Louis overturned a ruling issued last year that supported the ordinance.
3.800,Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926.,"Only 29 families of frogs are known, most of which were named by the mid-1800s."
4.400,"Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.","""This is an extremely heartrending time for the entire Brandeis University community."
5.000,"The value will total about $124 million, including convertible securities, according to Corel.","Including convertible securities, the total estimated value of the deal is $124 million, according to Corel."
3.000,"He started in the 1983 Super Bowl, which Miami lost 27-17 to Washington.","He played four seasons in Miami, including the Dolphins' 27-17 loss to Washington in the Super Bowl."
2.667,Nterprise Linux Services is expected to be available before then end of this year.,Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July.
2.333,"Excluding one-time items, the company enjoyed a profit of 6 cents a share.","Excluding one-time items, it expects profit of 11 cents to 15 cents a share."
3.000,"""But I do question the motives of a deskbound president who assumes the garb of a warrior for the purposes of a speech.""","Byrd, speaking from the Senate floor, said he questioned ""the motives of a deskbound president who assumes the garb of a warrior for purposes of a speech."""
1.333,"The broader Standard & Poor's 500 Index .SPX fell 3 points, or 0.30 percent, to 995.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94."
3.800,"Instead, tickets for the Jersey jam went on sale last night through Ticketmaster.","Tickets, available through Ticketmaster, went on sale yesterday."
3.400,"Earlier on Monday, Grant Thornton SpA repeated previous statements that it was ""a victim of fraudulent action"".",Grant Thornton claims that it too was the “victim” of a fraud.
2.000,Peter Lyman and Hal Varian of Berkeley's School of Information Management and Systems say that information production has increased by 30 percent each year between 1999 and 2002.,"That task appealed to two masters of the megabyte, Peter Lyman and Hal Varian, professors at the University of California-Berkeley's School of Information Management and Systems."
3.400,"""My judgment is 95 percent of that information should be declassified, become uncensored, so the American people would know.""","My judgment is 95 percent of that information could be declassified, become uncensored so the American people would know,"" Mr. Shelby said on NBC's ""Meet the Press."""
4.000,The researchers found only empty cavities and scar tissue where the tumors had been.,"No tumors were detected; rather, empty cavities and scar tissue were found in their place."
2.800,"Washington, however, said more was needed to prevent complaints being filed in the first place.","But the US insisted it wanted more done to prevent complaints being filed in the first place, preferably by repealing the entire law."
3.200,"After 26 hours of surgery and a year of anticipation, the boys were separated Sunday at Children's Medical Center of Dallas.","Two-year-old Egyptian twin boys, born with their heads conjoined, have been separated after 26 hours of surgery at the Children's Medical Centre in Dallas."
3.600,Pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed.,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed.
3.600,"The euro soared to US$1.1914 in Asian trading, before slipping back slightly to US$1.1895 as trading opened in Europe.","The euro soared to $1.1914 in Asian trading, before slipping back to $1.1884 in late European trading, up from $1.1857 late Monday."
4.200,"Abbas told the summit he would end the ""armed intefadeh,"" renounced ""terrorism against the Israelis wherever they might be"" and alluded to the disarming of militants.","At Wednesday's summit, Abbas pledged to end the ""armed intefadeh,"" renounced ""terrorism against the Israelis wherever they might be"" and alluded to the disarming of militants."
3.250,"Cmdr. Rod Gibbons, an academy spokesman, said, ""The academy is shocked and saddened.",Naval Academy spokesman Cmdr. Rod Gibbons said: ``Today's announcement came as a surprise.
2.750,"Shares of LendingTree rose $6.21, or 42 percent, to $20.90 after hitting $21.36 earlier.","LendingTree shares rose 43 percent, or $6.31, to $21, more than doubling in the last two months."
2.500,"Last week, his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing.","Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene."
1.750,"""I think it should have been released years ago,"" said Brian Rohrbough, whose son, Daniel, was killed at Columbine.","Brian Rohrbough, whose son, Daniel, was killed at Columbine, said the tape raises disturbing issues."
4.250,"CIA Director George Tenet said the two men were ""defined by dedication and courage.""","""[They] were defined by dedication and courage,"" said the CIA's director George Tenet."
5.000,"But software license revenues, a measure financial analysts watch closely, decreased 21 percent to $107.6 million.","License sales, a key measure of demand, fell 21 percent to $107.6 million."
4.250,"Dotson, 21, was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him.","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him, according to the arrest warrant affidavit."
4.750,Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.
2.750,That objection was cited by PeopleSoft's board in rejecting Oracle's offer.,PeopleSoft's board has recommended stockholders reject the offer.
3.250,Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs.,Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters.
3.500,"""These are dark days for our industry,"" Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","""These are dark days for our industry,"" the Geneva-based International Air Transport Association's Director-General Giovanni Bisignani said."
3.600,"The seven other nations in the initiative are Britain, Germany, Italy, the Netherlands, Poland, Portugal and Spain.","Other nations involved in the PSI include Germany, Italy, the Netherlands, Poland, Portugal, Spain and Britain."
3.333,"The average American makes four trips a day, 45 percent for shopping or errands.",Nearly half - 45 percent - are for shopping or running errands.
4.000,"It's also a strategic win for Overture, given that Knight Ridder had the option of signing on Google's services.","It's also a strategic win for Overture, given that Knight Ridder had been using Google's advertising services."
3.500,"In the weeks leading up to the execution, several Florida officials received anonymous threatening letters.","Several Florida officials connected to the case have received threatening letters, accompanied by rifle bullets."
3.400,Hoy confirmed the woman's age Tuesday and said she has left on vacation with her family.,"Hoy confirmed the woman's age Tuesday and said she was on vacation with her family, but is expected to return this week."
3.600,"BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.",The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.
3.600,"The 3{ hours of recordings include conversations between police, firefighters and other emergency workers, as well as media inquiries.","Among them are conversations between police, firefighters and other emergency workers, as well as media inquiries."
2.000,"The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.
3.600,"But he is the only candidate who has won national labor endorsements so far, picking up his 11th union on Tuesday when the United Steelworkers of America endorsed him.","But he is the only candidate who has won national labor endorsements so far, picking up his 11th on Tuesday."
1.600,"Oracle shares fell 27 cents, or 2 percent, to $13.09.","Oracle shares also rose on the news, up 15 cents to $13.51 on the Nasdaq."
4.600,"North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.","North American stock markets got off to a slow start Tuesday, with investors ready to get their first taste of quarterly earnings."
3.600,"The market's broader gauges also posted big gains, having climbed higher for four consecutive weeks.","The broader market also retreated, having climbed higher for four consecutive weeks."
3.000,Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.,"His first Father's Day as a dad, his first major as a champion."
2.400,"They passed through the Lemelson Medical, Educational and Research Foundation Limited Partnership in 2001 to Syndia.","It said the patents were ""allegedly"" assigned to Syndia in 2001 through the Lemelson Medical, Educational and Research Foundation Limited Partnership."
1.200,The SIA says the DRAM market is expected to grow 2.9 percent to $15.7 billion in 2003 and 43 percent to $22.5 billion in 2004.,"The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004."
3.400,"Morrill's wife, Ellie, sobbed and hugged Bondeson's sister-in-law during the service.","At the service Morrill's widow, Ellie, sobbed and hugged Bondeson's sister-in-law as people consoled her."
3.000,Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits.,Grassley and Baucus said they had rejected that approach in their plan.
3.400,"In the year-ago quarter, the steelmaker recorded a profit of $16.2 million, or 15 cents per share, on sales of $1.14 billion.","In the second quarter last year, AK Steel reported a profit of $16.2 million, or 15 cents a share."
1.800,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15."
3.500,"""It was brazen intimidation to keep people on the reservation,"" said a Republican who attended but did not want to be named.","""It was a brazen attempt at intimidation,"" said a Republican legislator who attended the meeting."
2.750,"No charges were announced, but the statement said legal proceedings were expected Monday.",An FBI statement said legal proceedings were expected Monday in federal court in Baltimore.
2.600,The dead woman was also wearing a ring and a Cartier watch.,"""It's a blond-haired woman wearing a Cartier watch on her wrist,"" the source said."
2.200,"The tech-heavy Nasdaq Stock Markets composite index added 14.17 points or 0.94 per cent to 1,517.05.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points."
4.750,"But the FBI never kept tabs on al-Bayoumi - even though it had received information that he was a Saudi agent, the document says.","But the bureau never kept tabs on al-Bayoumi—despite receiving prior information he was a secret Saudi agent, the report says."
1.500,"""It's going to happen,"" said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.","""That really affects the companies, big time,"" said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte."
3.750,"He was released on $3-million bail and immediately returned to Las Vegas, where he had been filming a video.","After posting $3 million bail, Jackson flew to Las Vegas, where he had been working on a video."
3.500,Gartner analysts said that businesses are not yet feeling confident enough to upgrade corporate PCs.,"What's more, companies are not feeling confident enough to replace older PCs, the analyst firm said."
1.500,"As of Tuesday, almost 250 health-care workers were in quarantine.","In addition, 6,800 people were in quarantine and thousands of health-care workers in working quarantine."
3.200,Brian Brabazon said his son would get upset but then turn around and befriend his taunters.,"Her son would get upset, his mom said, but then turn around and befriend his taunters."
2.200,"The tech-heavy Nasdaq Stock Markets composite index added 1.16 points to 1,504.04.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points."
2.400,"The technology-laced Nasdaq Composite Index dipped 0.08 of a point to 1,646.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94."
3.000,"He told the jury Stubbs is a ""cold, calculating killer.""","District Attorney Dave Lupas reminded jurors that Stubbs is, ""a cold, calculating killer""."
1.800,"Likewise, the 30-year bond <US30YT=RR> slid 1-11/32 for a yield of 4.38 percent, up from 4.30 percent.","The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent."
2.400,"A seventh victim, a woman, died Tuesday night in the burn unit at childrens Hospital Medical Center of Akron.","A seventh person, a 21-year-old woman, was in critical condition in the burn unit at Akron Children's Hospital."
3.533,"The men were immediately flown to nearby Botswana on a chartered Air Malawi flight, Malawi intelligence officials said on condition of anonymity.","The men were flown to nearby Botswana on an Air Malawi flight, the officials said."
4.750,"In exchange, North Korea would be required to end its nuclear weapons program.","""In return we expect North Korea to give up nuclear weapons."""
3.333,"""We condemn and denounce the Governing Council, which is headed by the United States,"" Moqtada al-Sadr said.","""We condemn the Governing Council headed by the United States,"" Sadr said in a fiery sermon at Koufa mosque near Najaf."
5.000,Sendmail said the system can even be set up to permit business-only usage.,"The product can be instructed to permit business-only use, according to Sendmail."
3.000,That exploit works on unpatched Windows 2000 machines with Service Pack 3 and 4.,Both Counterpane and iDefense contend that the exploit works effectively against Windows 2000 systems running Service Pack 3 and 4.
3.000,"Further out the curve, the benchmark 10-year note US10YT=RR shed 25/32 in price, taking its yield to 3.26 percent from 3.17 percent.","Early Wednesday, the benchmark 10-year US10YT=RR had lost 16/32 in price, driving its yield up to 3.33 percent from 3.26 percent late Tuesday."
3.000,"Tech stocks were hurt by a sour forecast from Sun Microsystems, which was viewed as a bad omen for the upcoming quarterly earnings season.",A sour forecast from Sun Microsystems Inc. SUNW.O put more pressure on Wall Street before the quarterly earnings season.
1.846,Shares of Coke were up 6 cents at $44.42 in afternoon trading Wednesday on the New York Stock Exchange.,Shares of Coke were down 26 cents to close at $44.10 on the New York Stock Exchange.
3.000,Ernst & Young has denied any wrongdoing and plans to fight the allegations.,"Ernst & Young has denied the SEC's claims, and called its recommendations ""irresponsible""."
3.000,"Neither military action nor large-scale bribery can solve the North Korean problem, Wolfowitz said.","Indeed, Wolfowitz admitted Saturday that neither military action nor ""large scale bribery"" would solve the issue."
3.200,"The driver, Eugene Rogers, helped to remove children from the bus, Wood said.","At the accident scene, the driver was ""covered in blood"" but helped to remove children, Wood said."
1.000,"The broader Standard & Poor's 500 Index <.SPX> was up 9.69 points, or 0.98 percent, at 994.53.","The tech-laced Nasdaq Composite Index <.IXIC> gained 18.35 points, or 1.13 percent, to 1,646.02."
2.647,Shares of Guidant plummeted in trading both on and off the New York Stock Exchange before a news halt was imposed after midday.,Shares of Guidant were down 5.3 percent at $40.92 in afternoon trading on the New York Stock Exchange.
3.250,"""Three Weeks in October"" goes on sale Monday, nearly a year after the Washington, D.C.-area sniper shootings started.","Moose's book goes on sale Monday, nearly a year after the sniper shootings started in the Washington area."
3.750,"Based on a separate survey of households, the unemployment rate fell in August to 6.1 percent from 6.2 percent.","Labor Department analysts discounted a slight improvement in the national unemployment rate, which fell in August to 6.1 percent from 6.2 percent."
4.750,"The rate of skin cancer has tripled since the 1950s in Norway and Sweden, according to the study.",The study also found that skin cancer nearly tripled in Norway and Sweden since the 1950s.
3.929,The judge also refused to postpone the trial date of Sept. 29.,Obus also denied a defense motion to postpone the Sept. 29 trial date.
3.400,"While opposition parties have welcomed the cabinet's decision on anti-retroviral treatment, some said Health Minister Manto Tshabalala-Msimang was not fit to preside over a rollout plan.","Health Minister Manto-Tshabalala Msimang is not fit to preside over an anti-retroviral treatment rollout plan, according to some opposition parties."
3.200,"Chief merchandising officers oversee the buying and development of merchandise, deciding the merchandising direction of the company, or basically what it should stand for.","He or she decides the merchandising direction of the company, or basically what it should stand for."
3.800,"The Rev. Christopher J. Coyne, spokesman for the archdiocese, wouldn't comment Friday.","The Rev. Christopher Coyne, spokesman for the archdiocese, did not immediately return several calls seeking comment."
4.600,"Several relatives of Australian victims of the attack were in court to witness the proceedings, but few Balinese attended the trial.","Several relatives of Australian victims of the attack sat in the front row of the court, but few Balinese attended the trial."
3.200,"On July 10, a team of 32 Singaporean police officers was sent to Baghdad.",In July 32 Singaporean police officers were sent to Baghdad to help train Iraqi police forces and returned home last month.
2.200,The euro <EUR=> was up 0.67 percent against the dollar at $1.1784 after rising to a three-month high earlier in the session above $1.18.,"In early U.S. trading, the euro <EUR=> was down 0.6 percent to $1.1741, after rising to a four-month high of $1.1860."
4.400,"Previously, it had reported a profit of $12 million, or 0 cents a share, for that period.","Previously, it had reported a small profit of $12 million, or break-even on a per-share basis, for the period."
3.333,"A coalition of campaign groups, including the militant national students body, is backing the protests, which the NLC called in defiance of a court order banning them.","A coalition of campaign groups, including the militant national students body, is backing the action and is mobilising for protests."
4.000,The company is highlighting the addition of .NET and J2EE support to its Enterprise Application Environment (EAE) with the new mainframe.,"The company is also adding .Net and J2EE support to its Enterprise Application Environment development toolset, Sapp said."
1.333,"Since being drafted into service in 1971, it has racked up a record 45 accidents, with 393 deaths.","It has a chequered safety record, including 47 accidents that resulted in 668 deaths."
4.200,"Ryan Harvey, an outfielder from Dunedin High School in Florida, was selected with the sixth pick by the Chicago Cubs.","Ryan Harvey, a high school outfielder from Florida, was chosen sixth by the Cubs."
3.200,Glover spoke at a news conference that included about 20 relatives of the victims.,About 20 family members of the victims were invited to the news conference.
3.200,Four other men who were also charged in June have already pleaded guilty.,Four of the defendants have pleaded guilty to weapons charges and other counts.
3.250,"The federal and local governments remained largely shut down in the aftermath of Hurricane Isabel, as were schools, and much of the region's transportation network was slowed.","In the aftermath of Hurricane Isabel, federal and local governments remained shut down, as did schools and many businesses."
2.250,"He gave a surprisingly impassioned speech to the United Steelworkers of America, who announced their endorsement yesterday.","On Tuesday, he picked up the endorsement of the United Steelworkers of America."
3.500,"Some 50 million phone numbers are registered on the list, which was to take effect Oct. 1.","The FTC signed up 50 million phone numbers for the list, which was due to go into effect October 1."
2.200,"""And about eight to 10 seconds down, I hit.","""I was in the water for about eight seconds."
3.400,"But Adora Obi Nweze, the NAACP state president, said the state only tried to prove its conclusion of suicide, rather than consider the possibility of murder.","Adora Obi Nweze, the NAACP state president, said the state has refused to consider the possibility of murder."
3.000,Activists say they fear the gathering is an attempt by corporate farming to push bio-engineered crops on starving countries.,"Instead, they fear the conference is an attempt by corporate farming and biotech interests to push into new markets."
2.500,"Their contract will expire at 12:01 a.m. Wednesday instead of 12:01 a.m. Sunday, said Rian Wathen, organizing director for United Food and Commercial Workers Local 700.","""It has outraged the membership,"" said Rian Wathen, organizing director of United Food and Commercial Workers Local 700."
1.750,"The technology-laced Nasdaq Composite Index .IXIC rose 39.39 points, or 2.2 percent, to 1,826.33, after losing more than 2 percent on Tuesday.","The blue-chip Dow Jones industrial average .DJI jumped 194.14 points, or 2.09 percent, to 9,469.20 after sinking more than 1 percent a day earlier."
2.750,"Some 14,000 customers were without power in the area, Oklahoma Gas and Electric said.","About 38,000 OGE Energy Corp. customers are without power, the company said on its Web site."
4.250,"Now, Blanca's American husband, 63-year-old Roger Lawrence Strunk, faces a murder indictment issued in February by the Philippine government, which says he's the leading suspect.","Now, Blanca's husband, 63-year-old Roger Lawrence Strunk of Tracy, faces a murder indictment issued by the Philippine government in February."
3.000,"Prince is replacing Sanford ""Sandy"" Weill, who will remain Citigroup's chairman.","Prince, who heads Citigroup's global corporate and investment bank, is replacing Sanford Weill as CEO."
5.000,"The operating revenues were $1.45 billion, an increase over last year's result of $1.38 billion.",Operating revenues rose to $1.45 billion from $1.38 billion last year.
3.250,"Spot gold was quoted at $367.90/368.60 an ounce at 1000 GMT, having marched up to $369.50 -- a level not seen since February 10.","Spot gold was quoted at $358.65/359.15 an ounce at 0500 GMT, having darted as high as $359.25 -- a level not seen since February 25."
4.000,"In Canada, the booming dollar will be in focus again as it tries to stay above the 75 cent (U.S.) mark.","In Canada, the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent (U.S.) mark."
3.750,But the justices ruled that the police supervisor who repeatedly questioned Martinez did not violate his Fifth Amendment rights in doing so.,But the justices ruled that the police supervisor who repeatedly questioned Mr Martinez as he screamed in pain did not violate his Fifth Amendment rights.
2.000,"The blue-chip Dow Jones industrial average eased 44 points, or 0.47 percent, to 9,543, after scoring five consecutive up sessions.","The Dow Jones industrial average .DJI rose 18.25 points, or 0.19 percent, to 9,586.71."
3.333,"The center's president, Joseph Torsella, was struck on the head but was able to walk to an ambulance.",National Constitution Center President Joseph Torsella was hit in the head and knocked to his knees.
3.000,"The report ranked 45 large companies based on employment, marketing, procurement, community reinvestment and charitable donations.","Of those three, only Dillard's responded to the survey that ranked 45 large companies on employment, marketing, procurement, community reinvestment and charitable donations."
3.400,"""I don't know if the person I'm talking to now may end up being someone else at another time that may not follow the rules,"" Parrish said.","""I don't know whether the person I'm talking to now may end up being someone else,"" Parrish said."
5.000,"Ruffner, 45, doesn't yet have an attorney in the murder charge, authorities said.","Ruffner, 45, does not have a lawyer on the murder charge, authorities said."
3.400,"Passed in 1999 but never put into effect, the law would have made it illegal for bar and restaurant patrons to light up.","Passed in 1999 but never put into effect, the smoking law would have prevented bar and restaurant patrons from lighting up, but exempted private clubs from the regulation."
3.750,"The first trial of a suspect in last year's Bali nightclub bombings that killed more than 200 people opened in Indonesia today, Sky News reported.",One of the key suspects in the October nightclub bombings that killed more than 200 people in Bali went on trial Monday amid tight security.
4.000,French retirees will increase from one fifth to a third of the population by 2040.,"By 2040, retirees will account for a third of the population, up from a fifth today."
3.250,Iraqi police opened fire in downtown Baghdad today after demonstrators stormed a police station demanding they be given jobs they claimed to have paid bribes for.,"Iraqi police opened fire in downtown Baghdad Wednesday after demonstrators demanding jobs stormed a police station and threw stones at officers, police said."
2.250,"The Dow Jones industrial average <.DJI> added 28 points, or 0.27 percent, at 10,557, hitting its highest level in 21 months.","The Dow Jones industrial average <.DJI> rose 49 points, or 0.47 percent, to 10,578."
1.500,"During the same quarter last year, EDS declared a profit of $354 million, or 72 cents per share.","EDS reported a first-quarter loss of $126 million, or 26 cents per share."
3.000,Microsoft fell 5 percent before the open to $27.45 from Thursday's close of $28.91.,Shares in Microsoft slipped 4.7 percent in after-hours trade to $27.54 from a Nasdaq close of $28.91.
2.250,"""This is extraordinarily fast,"" said Matt Geller, an analyst at CIBC World Markets.","They are actually going to record sales for Velcade this year,"" said Matt Geller, an analyst at CIBC World Markets."
